number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
5920,ABTO,Abert's Towhee,"1A, 2, 1D",Melozone aberti,,,1028
4650,ACFL,Acadian Flycatcher,"0A, 0",Empidonax virescens,Ontario,,663
4070,ACWO,Acorn Woodpecker,"2, 1D, 2A",Melanerpes formicivorus,,,591
6641,ADWA,Adelaide's Warbler,"0A, 0",Setophaga adelaidae,,,976
8504,ADPE,Adelie Penguin,9,Pygoscelis adeliae,,,107
3152,AFCD,African Collared-Dove,"4, 4A",Streptopelia roseogrisea,,,472
8514,AFPE,African Penguin,9,Spheniscus demersus,,,114
8100,AFSI,African Silverbill,"0, 0A, 1C",Euodice cantans,,,1209
7960,AKEK,Akekee,"1, 1C",Loxops caeruleirostris,Y,,1171
7950,AKEP,Akepa,"0, 1",Loxops coccineus,Y,,1172
7890,AKIP,Akiapolaau,"1A, 1B",Hemignathus wilsoni,Y,,1164
7900,AKIK,Akikiki,"1, 1C, 0",Oreomystis bairdi,Y,,1166
8010,AKOH,Akohekohe,1A,Palmeria dolei,Y,,1174
232,AMMU,Alaska Marbled Murrelet,"3, 3B",Brachyramphus marmoratus,,Alaskan populations of Marbled Murrelet (not endangered).,385
4661,ALFL,Alder Flycatcher,"0A, 0",Empidonax alnorum,,AOU split from 4669-TRFL in 1973.,664
1721,ACGO,Aleutian Cackling Goose,"7B, 7",Branta hutchinsii leucopareia,,,21
730,ALTE,Aleutian Tern,"2, 2A, 1D",Onychoprion aleuticus,,,440
4340,ALHU,Allen's Hummingbird,X,Selasphorus sasin,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",564
5031,ALOR,Altamira Oriole,3,Icterus gularis,,,1141
2250,AMAV,American Avocet,"4, 4A",Recurvirostra americana,,Band above the intertarsal joint only.,295
1900,AMBI,American Bittern,"M: 7A
F: 6",Botaurus lentiginosus,,,212
1330,ABDU,American Black Duck,7A,Anas rubripes,,,43
1337,ABDX,American Black Duck Dominant X Mallard Hybrid,7A,,,Anas rubripes X A. platyrhynchos,44
2210,AMCO,American Coot,"6, 5A, 5",Fulica americana,,,286
4880,AMCR,American Crow,"5, 5A",Corvus brachyrhynchos,,,750
7010,AMDI,American Dipper,"2, 1D, 1A",Cinclus mexicanus,,,817
1820,AMFL,American Flamingo,"8, 8A",Phoenicopterus ruber,,,103
2720,AMGP,American Golden-Plover,"3, 2A, 2",Pluvialis dominica,,AOU split from 2729-LEGP in 1993.,301
5290,AMGO,American Goldfinch,"0, 0A, 1C, 1",Spinus tristis,,,1191
3341,AGOS,American Goshawk,"M: 6, 7A
F: 7A, 7B",Accipiter atricapillus,British Columbia,"Northern Goshawk split, AOS 64rd Supplement (2023)",248
3600,AMKE,American Kestrel,"3B, 3A, 3",Falco sparverius,,,623
2860,AMOY,American Oystercatcher,"5A, 5, 6",Haematopus palliatus,,,296
6970,AMPI,American Pipit,"1, 1C",Anthus rubescens,,,909
6870,AMRE,American Redstart,"0A, 0",Setophaga ruticilla,,,952
7610,AMRO,American Robin,2,Turdus migratorius,,,872
4010,ATTW,American Three-toed Woodpecker,2,Picoides dorsalis,,,609
5590,ATSP,American Tree Sparrow,"1, 0, 1C",Spizelloides arborea,,,1033
1250,AWPE,American White Pelican,"9, 9C, 8A",Pelecanus erythrorhynchos,,,210
1370,AMWI,American Wigeon,6,Mareca americana,,,41
2280,AMWO,American Woodcock,3,Scolopax minor,,,367
210,ANMU,Ancient Murrelet,"3, 3B",Synthliboramphus antiquus,,,392
1180,ANHI,Anhinga,"7B, 8",Anhinga anhinga,,,209
7840,ANIA,Anianiau,"0, 1C, 1",Magumma parva,,,1165
4310,ANHU,Anna's Hummingbird,X,Calypte anna,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",559
8532,ANPE,Antarctic Petrel,5,Thalassoica antarctica,,,136
8548,ANTE,Antarctic Tern,"3, 3B",Sterna vittata,,,455
4364,ACHU,Antillean Crested Hummingbird,X,Orthorhyncus cristatus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",571
6061,ANEU,Antillean Euphonia,"0, 1C, 1",Chlorophonia musica,,,1148
4201,ANNI,Antillean Nighthawk,"2, 1A, 1D",Chordeiles gundlachii,,,530
8020,APAP,Apapane,"1, 1C, 1B",Himatione sanguinea,,,1175
3590,APFA,Aplomado Falcon,"M: 4
F: 5",Falco femoralis,Y,Lock-on bands recommended.,625
90,ARLO,Arctic Loon,7B,Gavia arctica,,,91
710,ARTE,Arctic Tern,"2, 2A",Sterna paradisaea,,,454
7470,ARWA,Arctic Warbler,"0A, 0",Phylloscopus borealis,,,825
