species_id,alpha,common,weight_female_min,weight_female_max,weight_male_min,weight_male_min,wing_female_min,wing_female_max,wing_male_min,wing_male_max,tail_female_min,tail_female_max,tail_male_min,tail_male_max
10,WEGR,Western Grebe,0,0,0,0,165,193,186,213,0,0,0,0
11,CLGR,Clark's Grebe,0,0,0,0,164,193,184,210,0,0,0,0
12,WCGR,Western/Clark's Grebe,0,0,0,0,164,193,184,213,0,0,0,0
20,RNGR,Red-necked Grebe,0,0,0,0,153,203,159,212,0,0,0,0
30,HOGR,Horned Grebe,0,0,0,0,126,144,133,147,0,0,0,0
40,EAGR,Eared Grebe,0,0,0,0,120,139,126,142,0,0,0,0
50,LEGR,Least Grebe,0,0,0,0,83,101,86,105,0,0,0,0
60,PBGR,Pied-billed Grebe,0,0,0,0,115,129,127,143,0,0,0,0
70,COLO,Common Loon,0,0,0,0,331,388,341,401,70,96,74,100
80,YBLO,Yellow-billed Loon,0,0,0,0,358,389,366,403,78,95,82,100
90,ARLO,Arctic Loon,0,0,0,0,293,332,306,348,59,68,61,71
100,PALO,Pacific Loon,0,0,0,0,274,305,280,313,52,58,55,62
110,RTLO,Red-throated Loon,0,0,0,0,253,287,266,297,42,53,45,57
120,TUPU,Tufted Puffin,0,0,0,0,180,211,186,214,57,68,58,69
130,ATPU,Atlantic Puffin,0,0,0,0,155,170,156,172,43,54,43,53
140,HOPU,Horned Puffin,0,0,0,0,167,190,170,194,58,68,59,69
150,RHAU,Rhinoceros Auklet,0,0,0,0,168,186,173,191,49,59,51,61
160,CAAU,Cassin's Auklet,0,0,0,0,116,128,117,129,25,35,25,36
170,PAAU,Parakeet Auklet,0,0,0,0,139,152,141,155,37,43,38,44
180,CRAU,Crested Auklet,0,0,0,0,129,143,132,146,31,40,33,42
190,WHAU,Whiskered Auklet,0,0,0,0,101,112,102,113,25,33,25,32
200,LEAU,Least Auklet,0,0,0,0,87,102,86,101,23,28,23,27
210,ANMU,Ancient Murrelet,0,0,0,0,131,143,130,142,33,38,32,37
230,MAMU,Marbled Murrelet,0,0,0,0,121,133,123,125,27,34,28,35
231,LBMU,Long-billed Murrelet,0,0,0,0,0,0,0,0,0,0,0,0
232,AMMU,Alaska Marbled Murrelet,0,0,0,0,121,133,123,125,27,34,28,35
