number,alpha,common,scientific,taxonomic_order
10,WEGR,Western Grebe,Aechmophorus occidentalis,100
11,CLGR,Clark's Grebe,Aechmophorus clarkii,102
12,WCGR,Western/Clark's Grebe,,101
20,RNGR,Red-necked Grebe,Podiceps grisegena,98
30,HOGR,Horned Grebe *,Podiceps auritus,97
40,EAGR,Eared Grebe,Podiceps nigricollis,99
50,LEGR,Least Grebe,Tachybaptus dominicus,95
60,PBGR,Pied-billed Grebe,Podilymbus podiceps,96
70,COLO,Common Loon,Gavia immer,93
80,YBLO,Yellow-billed Loon,Gavia adamsii,94
90,ARLO,Arctic Loon,Gavia arctica,91
100,PALO,Pacific Loon,Gavia pacifica,92
110,RTLO,Red-throated Loon,Gavia stellata,90
120,TUPU,Tufted Puffin,Fratercula cirrhata,401
130,ATPU,Atlantic Puffin,Fratercula arctica,399
140,HOPU,Horned Puffin,Fratercula corniculata,400
150,RHAU,Rhinoceros Auklet,Cerorhinca monocerata,398
160,CAAU,Cassin's Auklet,Ptychoramphus aleuticus,393
170,PAAU,Parakeet Auklet,Aethia psittacula,394
180,CRAU,Crested Auklet,Aethia cristatella,397
190,WHAU,Whiskered Auklet,Aethia pygmaea,396
200,LEAU,Least Auklet,Aethia pusilla,395
210,ANMU,Ancient Murrelet,Synthliboramphus antiquus,392
231,LBMU,Long-billed Murrelet,Brachyramphus perdix,384
232,AMMU,Alaska Marbled Murrelet,Brachyramphus marmoratus,385
240,KIMU,Kittlitz's Murrelet,Brachyramphus brevirostris,387
250,XAMU,Xantus's Murrelet,,388
251,SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,389
252,GUMU,Guadalupe Murrelet,Synthliboramphus hypoleucus,390
260,CRMU,Craveri's Murrelet,Synthliboramphus craveri,391
270,BLGU,Black Guillemot,Cepphus grylle,382
290,PIGU,Pigeon Guillemot,Cepphus columba,383
300,COMU,Common Murre,Uria aalge,379
310,TBMU,Thick-billed Murre,Uria lomvia,380
320,RAZO,Razorbill,Alca torda,381
340,DOVE,Dovekie,Alle alle,378
350,GRSK,Great Skua,Stercorarius skua,371
352,SPSK,South Polar Skua,Stercorarius maccormicki,372
360,POJA,Pomarine Jaeger,Stercorarius pomarinus,375
370,PAJA,Parasitic Jaeger,Stercorarius parasiticus,376
380,LTJA,Long-tailed Jaeger,Stercorarius longicaudus,377
390,IVGU,Ivory Gull *,Pagophila eburnea,404
391,MAGU,Magellan Gull,Leucophaeus scoresbii,410
400,BLKI,Black-legged Kittiwake,Rissa tridactyla,402
410,RLKI,Red-legged Kittiwake,Rissa brevirostris,403
420,GLGU,Glaucous Gull,Larus hyperboreus,428
430,ICGU,Iceland Gull,Larus glaucoides,424
431,THGU,Thayer's Gull,Larus glaucoides thayeri,423
440,GWGU,Glaucous-winged Gull,Larus glaucescens,427
446,HYGU,Hybrid Gull,,431
470,GBBG,Great Black-backed Gull,Larus marinus,429
480,SBGU,Slaty-backed Gull,Larus schistisagus,426
490,WEGU,Western Gull,Larus occidentalis,419
491,YFGU,Yellow-footed Gull,Larus livens,420
500,LBBG,Lesser Black-backed Gull,Larus fuscus,425
510,HERG,Herring Gull,Larus argentatus,422
530,CAGU,California Gull,Larus californicus,421
534,UNGU,Unidentified Gull,,432
540,RBGU,Ring-billed Gull,Larus delawarensis,418
542,BEGU,Belcher's Gull,Larus belcheri,413
550,UMGU,Unidentified Mew Gull,,415
551,BHGU,Black-headed Gull,Chroicocephalus ridibundus,407
552,COGU,Common Gull,Larus canus,416
553,SHOG,Short-billed Gull,Larus brachyrhynchus,417
570,HEEG,Heermann's Gull,Larus heermanni,414
580,LAGU,Laughing Gull,Leucophaeus atricilla,411
590,FRGU,Franklin's Gull,Leucophaeus pipixcan,412
600,BOGU,Bonaparte's Gull,Chroicocephalus philadelphia,406
601,LIGU,Little Gull,Hydrocoloeus minutus,408
610,ROGU,Ross's Gull *,Rhodostethia rosea,409
620,SAGU,Sabine's Gull,Xema sabini,405
630,GBTE,Gull-billed Tern,Gelochelidon nilotica,445
640,CATE,Caspian Tern,Hydroprogne caspia,446
650,ROYT,Royal Tern,Thalasseus maximus,458
652,GCTE,Great Crested Tern,Thalasseus bergii,459
660,ELTE,Elegant Tern,Thalasseus elegans,462
670,SATE,Sandwich Tern,Thalasseus sandvicensis,460
671,CAYT,Cayenne Tern,Thalasseus acuflavidus eurygnathus,461
690,FOTE,Forster's Tern,Sterna forsteri,457
700,COTE,Common Tern,Sterna hirundo,453
706,HYTE,Hybrid Tern,,463
710,ARTE,Arctic Tern,Sterna paradisaea,454
725,HCRT,Common Tern X Roseate Tern Hybrid,,452
730,ALTE,Aleutian Tern,Onychoprion aleuticus,440
731,BNTE,Black-naped Tern,Sterna sumatrana,451
740,LETE,Least Tern,Sternula antillarum,442
741,LITE,Little Tern,Sternula albifrons,441
750,SOTE,Sooty Tern,Onychoprion fuscatus,437
760,BRTE,Bridled Tern,Onychoprion anaethetus,439
761,GRAT,Gray-backed Tern,Onychoprion lunatus,438
770,BLTE,Black Tern,Chlidonias niger,447
780,WWTE,White-winged Tern,Chlidonias leucopterus,448
781,WHIT,Whiskered Tern,Chlidonias hybrida,449
790,BRNO,Brown Noddy,Anous stolidus,433
791,BLNO,Black Noddy,Anous minutus,434
792,BGNO,Blue-gray Noddy,Anous ceruleus,435
793,WHTE,White Tern,Gygis alba,436
800,BLSK,Black Skimmer,Rynchops niger,464
810,BFAL,Black-footed Albatross,Phoebastria nigripes,129
811,WAAL,Wandering Albatross,Diomedea exulans,127
816,HYAL,Hybrid Albatross,,124
821,LAAL,Laysan Albatross,Phoebastria immutabilis,128
822,BBAL,Black-browed Albatross,Thalassarche melanophris,120
823,WCAL,White-capped Albatross,Thalassarche cauta,119
824,WAVA,Waved Albatross,Phoebastria irrorata,130
830,YNAL,Yellow-nosed Albatross,Thalassarche chlororhynchos,118
860,NOFU,Northern Fulmar,Fulmarus glacialis,134
880,COSH,Cory's Shearwater,Calonectris diomedea,160
881,STRS,Streaked Shearwater,Calonectris leucomelas,159
890,GRSH,Great Shearwater,Ardenna gravis,163
900,MASH,Manx Shearwater,Puffinus puffinus,169
910,PFSH,Pink-footed Shearwater *,Ardenna creatopus,161
920,AUSH,Audubon's Shearwater,Puffinus lherminieri,173
921,LISH,Little Shearwater,Puffinus assimilis,175
922,TRSH,Tropical Shearwater,Puffinus bailloni,174
930,BVSH,Black-vented Shearwater,Puffinus opisthomelas,172
931,TOSH,Townsend's Shearwater,Puffinus auricularis,171
950,SOSH,Sooty Shearwater,Ardenna grisea,166
951,FFSH,Flesh-footed Shearwater,Ardenna carneipes,162
960,SHOS,Short-tailed Shearwater,Ardenna tenuirostris,167
961,WTSH,Wedge-tailed Shearwater,Ardenna pacifica,164
962,BULS,Buller's Shearwater,Ardenna bulleri,165
963,CHSH,Christmas Shearwater,Puffinus nativitatis,168
980,BCPE,Black-capped Petrel,Pterodroma hasitata,147
983,COPE,Cook's Petrel,Pterodroma cookii,154
986,TRPE,Trindade Petrel,Pterodroma arminjoniana,149
987,JFPE,Juan Fernandez Petrel,Pterodroma externa,148
988,PHPE,Phoenix Petrel,Pterodroma alba,150
990,MOPE,Mottled Petrel,Pterodroma inexpectata,146
991,BOPE,Bonin Petrel,Pterodroma hypoleuca,152
992,BWPE,Black-winged Petrel,Pterodroma nigripennis,153
1001,MUPE,Murphy's Petrel,Pterodroma ultima,145
1003,STPE,Stejneger's Petrel,Pterodroma longirostris,155
1004,TAPE,Tahiti Petrel,Pseudobulweria rostrata,156
1010,BUPE,Bulwer's Petrel,Bulweria bulwerii,157
1020,CAPE,Cape Petrel,Daption capense,137
1030,LTSP,Least Storm-Petrel,Hydrobates microsoma,187
1050,FTSP,Fork-tailed Storm-Petrel,Hydrobates furcatus,180
1060,LHSP,Leach's Storm-Petrel,Hydrobates leucorhous,181
1063,WRSP,Wedge-rumped Storm-Petrel,Hydrobates tethys,184
1070,BLSP,Black Storm-Petrel,Hydrobates melania,185
1071,TRSP,Tristram's Storm-Petrel,Hydrobates tristrami,186
1080,ASSP,Ashy Storm-Petrel,Hydrobates homochroa,182
1090,WISP,Wilson's Storm-Petrel,Oceanites oceanicus,176
1101,WHSP,White-throated Storm-Petrel,Nesofregetta fuliginosa,179
1110,WFSP,White-faced Storm-Petrel,Pelagodroma marina,178
1120,WTTR,White-tailed Tropicbird,Phaethon lepturus,188
1130,RBTR,Red-billed Tropicbird,Phaethon aethereus,189
1131,RTTR,Red-tailed Tropicbird,Phaethon rubricauda,190
1140,MABO,Masked Booby,Sula dactylatra,195
1141,BFBO,Blue-footed Booby,Sula nebouxii,197
1142,NABO,Nazca Booby,Sula granti,196
1150,BRBO,Brown Booby,Sula leucogaster,198
1160,RFBO,Red-footed Booby,Sula sula,199
1170,NOGA,Northern Gannet,Morus bassanus,200
1180,ANHI,Anhinga,Anhinga anhinga,209
1190,GRCO,Great Cormorant,Phalacrocorax carbo,204
1200,DCCO,Double-crested Cormorant,Nannopterum auritum,203
1201,GUCO,Guanay Cormorant,Leucocarbo bougainvillii,207
1210,NECO,Neotropic Cormorant,Nannopterum brasilianum,202
1220,BRAC,Brandt's Cormorant,Urile penicillatus,201
1230,PECO,Pelagic Cormorant,Urile pelagicus,206
1240,RFCO,Red-faced Cormorant,Urile urile,205
1250,AWPE,American White Pelican,Pelecanus erythrorhynchos,210
1260,BRPE,Brown Pelican,Pelecanus occidentalis,211
1280,MAFR,Magnificent Frigatebird,Fregata magnificens,192
1281,GRFR,Great Frigatebird,Fregata minor,193
1282,LEFR,Lesser Frigatebird,Fregata ariel,194
1290,COME,Common Merganser,Mergus merganser,84
1300,RBME,Red-breasted Merganser,Mergus serrator,85
1310,HOME,Hooded Merganser,Lophodytes cucullatus,83
1320,MALL,Mallard,Anas platyrhynchos,48
1323,MHDH,Mallard X Hawaiian Duck Hybrid,,53
1325,MBDX,Mallard X American Black Duck Intermediate,,45
1326,MBDH,Mallard X American Black Duck Hybrid,,46
1327,MALX,Mallard Dominant X American Black Duck Hybrid,,47
1330,ABDU,American Black Duck,Anas rubripes,43
1331,MEDU,Mexican Duck,Anas diazi,50
1332,PBDU,Pacific Black Duck,Anas superciliosa,42
1337,ABDX,American Black Duck Dominant X Mallard Hybrid,,44
1340,MODU,Mottled Duck,Anas fulvigula,49
1350,GADW,Gadwall,Mareca strepera,38
1360,EUWI,Eurasian Wigeon,Mareca penelope,40
1370,AMWI,American Wigeon,Mareca americana,41
1371,FADU,Falcated Duck,Mareca falcata,39
1380,EGWT,European Green-winged Teal,Anas crecca crecca,61
1390,AGWT,Green-winged Teal,Anas crecca,62
1391,BATE,Baikal Teal,Sibirionetta formosa,60
1392,GARG,Garganey,Spatula querquedula,59
1400,BWTE,Blue-winged Teal,Spatula discors,54
1401,UNTE,Unidentified Teal,,63
1410,CITE,Cinnamon Teal,Spatula cyanoptera,55
1420,NSHO,Northern Shoveler,Spatula clypeata,56
1430,NOPI,Northern Pintail,Anas acuta,58
1431,WHIP,White-cheeked Pintail,Anas bahamensis,57
1436,OHDU,Other Hybrid Duck,,88
1440,WODU,Wood Duck,Aix sponsa,37
1441,MUDU,Muscovy Duck,Cairina moschata,36
1460,REDH,Redhead,Aythya americana,65
1461,CPOC,Common Pochard,Aythya ferina,66
1470,CANV,Canvasback,Aythya valisineria,64
1480,GRSC,Greater Scaup,Aythya marila,69
1490,LESC,Lesser Scaup,Aythya affinis,70
1491,TUDU,Tufted Duck,Aythya fuligula,68
1500,RNDU,Ring-necked Duck,Aythya collaris,67
1510,COGO,Common Goldeneye,Bucephala clangula,81
1520,BAGO,Barrow's Goldeneye,Bucephala islandica,82
1530,BUFF,Bufflehead,Bucephala albeola,80
1540,LTDU,Long-tailed Duck,Clangula hyemalis,79
1550,HARD,Harlequin Duck,Histrionicus histrionicus,75
1590,COEI,Common Eider,Somateria mollissima,74
1620,KIEI,King Eider,Somateria spectabilis,73
1630,BLSC,Black Scoter,Melanitta americana,78
1650,WWSC,White-winged Scoter,Melanitta deglandi,77
1660,SUSC,Surf Scoter,Melanitta perspicillata,76
1670,RUDU,Ruddy Duck,Oxyura jamaicensis,87
1680,MADU,Masked Duck,Nomonyx dominicus,86
1690,LSGO,Lesser Snow Goose,Anser caerulescens caerulescens,10
1691,BLGO,Blue Goose,Anser caerulescens,11
1695,SBGI,Snow X Blue Goose Intergrade,,12
1698,BGSG,Blue Greater Snow Goose,,13
1699,GSGO,Greater Snow Goose,Anser caerulescens atlantica,14
1700,ROGO,Ross's Goose,Anser rossii,16
1703,SRGH,Snow X Ross's Goose Hybrid,,15
1710,GWFG,Greater White-fronted Goose,Anser albifrons,6
1711,TABG,Taiga Bean-Goose,Anser fabalis,4
1712,PFGO,Pink-footed Goose,Anser brachyrhynchus,5
1713,LWFG,Lesser White-fronted Goose,Anser erythropus,7
1716,OHGO,Other Hybrid Goose,,30
1719,TWFG,Tule White-fronted Goose,Anser albifrons elgasi,8
1720,CAGO,Canada Goose,Branta canadensis,28
1721,ACGO,Aleutian Cackling Goose,Branta hutchinsii leucopareia,21
1722,MCGO,Minima Cackling Goose,Branta hutchinsii minima,22
1723,LCGO,Large Canada Goose,Branta canadensis maxima,23
1724,TCGO,Taverner's Cackling Goose,Branta hutchinsii taverneri,24
1725,RCGO,Richardson's Cackling Goose,Branta hutchinsii hutchinsii,25
1726,DCGO,Dusky Canada Goose,Branta canadensis ocidentalis,26
1729,SCGO,Small Canada/Cackling Goose,Branta canadensis parvipes,27
1730,ATBR,Atlantic Brant,Branta bernicla hrota,17
1731,BABI,Black X Atlantic Brant Intergrade,,18
1740,BLBR,Black Brant,Branta bernicla nigricans,19
1750,BRNG,Barnacle Goose,Branta leucopsis,20
1760,EMGO,Emperor Goose,Anser canagicus,9
